taco
brokerage,sic_codes,company_name,company_number,jurisdiction,last_full_members_list_date,date_of_creation,type,status,undeliverable_registered_office_address,has_been_liquidated,etag,has_insolvency_history,company_status,has_charges,registered_office_is_in_dispute,has_super_secure_pscs,can_file,registered_office_address.region,registered_office_address.postal_code,registered_office_address.locality,registered_office_address.address_line_1,accounts.next_accounts.period_end_on,accounts.next_accounts.due_on,accounts.next_accounts.overdue,accounts.next_accounts.period_start_on,accounts.last_accounts.made_up_to,accounts.last_accounts.type,accounts.last_accounts.period_start_on,accounts.last_accounts.period_end_on,accounts.next_due,accounts.next_made_up_to,accounts.accounting_reference_date.day,accounts.accounting_reference_date.month,accounts.overdue,confirmation_statement.next_made_up_to,confirmation_statement.overdue,confirmation_statement.last_made_up_to,confirmation_statement.next_due,links.self,links.filing_history,links.officers,links.persons_with_significant_control,registered_office_address.country,previous_company_names,registered_office_address.address_line_2,links.charges,links.persons_with_significant_control_statements,date_of_cessation,links.insolvency,branch_company_details.parent_company_name,branch_company_details.parent_company_number,branch_company_details.business_activity,links.overseas,external_registration_number,links.uk_establishments,foreign_company_details.accounts.must_file_within.months,foreign_company_details.accounts.account_period_to.day,foreign_company_details.accounts.account_period_to.month,foreign_company_details.accounts.account_period_from.day,foreign_company_details.accounts.account_period_from.month,foreign_company_details.accounting_requirement.foreign_account_type,foreign_company_details.accounting_requirement.terms_of_account_publication,foreign_company_details.governed_by,foreign_company_details.legal_form,foreign_company_details.originating_registry.country,foreign_company_details.originating_registry.name,foreign_company_details.business_activity,foreign_company_details.registration_number,foreign_company_details.is_a_credit_financial_institution,annual_return.last_made_up_to,links.registers,registered_office_address.care_of,super_secure_managing_officer_count,service_address.address_line_1,service_address.locality,service_address.postal_code,service_address.region,service_address.country,service_address.address_line_2,company_status_detail,partial_data_available
W B Baxter Ltd (Cleo),,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),FC032718,united-kingdom,,2015-05-01,oversea-company,,FALSE,,49aff099ee1e3fd009e3642cd740d171cbaae8d0,FALSE,active,FALSE,,,FALSE,Beijing,,"Xichend District,","Room 1937-1943a, Building 10 - Building 6,8,10,12,16,18,",2015-12-31,,FALSE,,2014-12-31,null,,2014-12-31,,2015-12-31,,,FALSE,,,,,/company/FC032718,/company/FC032718/filing-history,/company/FC032718/officers,,,,"Xuanwumenwai Street,",,,,,,,,,110102005766463,/company/FC032718/uk-establishments,3,31,12,1,1,accounting-requirements-of-originating-country-apply,accounts-publication-date-supplied-by-company,"Company Law Of China, Insurance Law Of China - Provisions Of The Supervision & Administration Of Insurance Brokerage Institutions (2013 Revision)",Limited Private Company,CHINA,Beijing Administation For Industry And Commerce (Baic),"Establish Insurance Plans For The Insurance Applicant, Choose The Insurer, Perfo",110102005766463,FALSE,,,,,,,,,,,,
Erimus Insurance Brokers,['99999'],ENDEAVOUR 158 LIMITED,7602786,england-wales,2016-04-13,2011-04-13,ltd,active,FALSE,FALSE,48c5384251e6f106f613a8b5dd62d9a70818d2de,FALSE,active,FALSE,FALSE,FALSE,TRUE,North Yorkshire,TS18 3EX,Stockton On Tees,2 Kingfisher Court Kingfisher Way,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,dormant,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2023-04-13,TRUE,2022-04-13,2023-04-27,/company/07602786,/company/07602786/filing-history,/company/07602786/officers,/company/07602786/persons-with-significant-control,England,"[{'ceased_on': '2022-06-22', 'effective_from': '2011-04-13', 'name': 'ERIMUS INSURANCE BROKERS LIMITED'}]",Bowesfield Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Liverpool),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Wakefield),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Bollington Ins Brokers Ltd),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towergate (Warwick),['64205'],ARDONAGH ADVISORY HOLDINGS LIMITED,11550030,england-wales,,2018-09-03,ltd,,FALSE,,bcc5209a815fa579942ed3bbf6f9064fd06f0923,FALSE,active,TRUE,FALSE,FALSE,TRUE,,EC3R 7PD,London,2 Minster Court,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,audit-exemption-subsidiary,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2023-09-02,FALSE,2022-09-02,2023-09-16,/company/11550030,/company/11550030/filing-history,/company/11550030/officers,/company/11550030/persons-with-significant-control,United Kingdom,"[{'ceased_on': '2019-12-12', 'effective_from': '2018-09-03', 'name': 'TOWERGATE INSURANCE BROKING HOLDINGS LIMITED'}]",Mincing Lane,/company/11550030/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsh Commercial Private Clients (PC Midlands),['65120'],MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,england-wales,2016-03-01,1995-03-02,ltd,active,FALSE,FALSE,525a014af7ce0b11c6035129b4d666076feaa876,FALSE,active,TRUE,FALSE,FALSE,TRUE,,LE1 6XF,Leicester,Lancelot House,2022-08-31,2023-08-31,FALSE,2021-09-01,2021-08-31,total-exemption-full,2020-09-01,2021-08-31,2023-08-31,2022-08-31,31,8,FALSE,2023-07-09,FALSE,2022-07-09,2023-07-23,/company/03028313,/company/03028313/filing-history,/company/03028313/officers,/company/03028313/persons-with-significant-control,,"[{'effective_from': '1995-03-02', 'name': 'MONHURST LIMITED', 'ceased_on': '1995-09-01'}]",1-3 Upper King Street,/company/03028313/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luker Rowe - Brokerbility,['66220'],LUKER ROWE & COMPANY LIMITED,2326095,england-wales,2016-06-21,1988-12-07,ltd,active,FALSE,FALSE,d4898756aa979a2893f4ef06d80ee168dd8a6e02,FALSE,active,TRUE,FALSE,FALSE,TRUE,,HP6 5FB,Amersham,King George V House,2022-10-31,2023-07-31,FALSE,2021-11-01,2021-10-31,small,2021-04-01,2021-10-31,2023-07-31,2022-10-31,31,10,FALSE,2023-07-08,FALSE,2022-07-08,2023-07-22,/company/02326095,/company/02326095/filing-history,/company/02326095/officers,/company/02326095/persons-with-significant-control,England,"[{'effective_from': '1988-12-07', 'name': 'PROFITMET LIMITED', 'ceased_on': '1989-02-15'}]",King George V Road,/company/02326095/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFM Insurance Brokers Ltd,"['65120', '66220']",IFM INSURANCE BROKERS LTD,2680875,england-wales,2016-01-24,1992-01-24,ltd,active,FALSE,FALSE,c82f801b765f5a463bd38d621f58eb0c59c43415,FALSE,active,TRUE,FALSE,FALSE,TRUE,South Yorkshire,S9 3BL,Sheffield,1st & 2nd Floor Parkway Works,2023-03-31,2023-12-31,FALSE,2022-04-01,2022-03-31,total-exemption-full,2021-04-01,2022-03-31,2023-12-31,2023-03-31,31,3,FALSE,2024-01-24,FALSE,2023-01-24,2024-02-07,/company/02680875,/company/02680875/filing-history,/company/02680875/officers,/company/02680875/persons-with-significant-control,United Kingdom,"[{'effective_from': '1992-01-24', 'ceased_on': '1992-04-07', 'name': 'I F M (NORTH) LIMITED'}]",Kettlebridge Road,/company/02680875/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Gloucester),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backhouse Insurance Brokers Ltd,['65120'],BACKHOUSE INSURANCE BROKERS LIMITED,304106,england-wales,2016-04-30,1935-08-15,ltd,,FALSE,FALSE,b9b00a8caa313adfe2aa35f04429b836852d6fe3,FALSE,active,TRUE,FALSE,FALSE,TRUE,Lancashire,BB9 6RX,Nelson,Oakmount House,2023-06-30,2024-03-31,FALSE,2022-07-01,2022-06-30,total-exemption-full,2021-07-01,2022-06-30,2024-03-31,2023-06-30,30,6,FALSE,2024-04-25,FALSE,2023-04-25,2024-05-09,/company/00304106,/company/00304106/filing-history,/company/00304106/officers,/company/00304106/persons-with-significant-control,England,"[{'effective_from': '1935-08-15', 'ceased_on': '1983-12-05', 'name': 'W.J.MERCER & CO.LIMITED'}]",7-9 Carrside,/company/00304106/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caunce O’Hara Insurance Brokers Limited,['66220'],CAUNCE O'HARA INSURANCE BROKERS LIMITED,11925887,england-wales,,2019-04-04,ltd,,FALSE,,9d465fabcacef78d43bfacc6968dce89e1778c87,FALSE,active,FALSE,FALSE,FALSE,TRUE,,M2 3BA,Manchester,5th Floor 19 York Street,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,small,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-04-03,FALSE,2023-04-03,2024-04-17,/company/11925887,/company/11925887/filing-history,/company/11925887/officers,/company/11925887/persons-with-significant-control,United Kingdom,"[{'ceased_on': '2019-10-31', 'name': 'CAUNCE O’HARA BROKERS LIMITED', 'effective_from': '2019-04-04'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Hoare & Co Ltd (Brokerbility),['74990'],PETER HOARE & COMPANY (FINANCIAL SERVICES) LIMITED,2320981,england-wales,2015-12-19,1988-11-23,ltd,active,FALSE,FALSE,af6686d661beb4c1d4543be9e6fed6701f9a91f0,FALSE,active,FALSE,FALSE,FALSE,TRUE,South Yorkshire,S10 3GS,Sheffield,Ranmoor House,2023-10-31,2024-07-31,FALSE,2022-11-01,2022-10-31,dormant,2021-11-01,2022-10-31,2024-07-31,2023-10-31,31,10,FALSE,2023-12-18,FALSE,2022-12-18,2024-01-01,/company/02320981,/company/02320981/filing-history,/company/02320981/officers,/company/02320981/persons-with-significant-control,,,237 Graham Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBRA Uk & Ireland Ltd,['6603'],COBRA UK & IRELAND INSURANCE CONSULTANTS LIMITED,4223468,england-wales,2010-05-25,2001-05-25,ltd,,FALSE,,0e97ec174dcc5fda39166be46c530ce2a5ed2cc6,TRUE,dissolved,FALSE,,,FALSE,Kent,TN1 1EE,Tunbridge Wells,4 Mount Ephraim Road,,,,,2011-03-31,dormant,,,,,31,3,,,,,,/company/04223468,/company/04223468/filing-history,/company/04223468/officers,,,"[{'name': 'UK & IRELAND INSURANCE CONSULTANTS LTD', 'effective_from': '2001-05-25', 'ceased_on': '2008-03-07'}]",,,,2015-04-12,/company/04223468/insolvency,,,,,,,,,,,,,,,,,,,,,2011-05-25,,,,,,,,,,,
Edinburgh Risk Management (General) Ltd,,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD UK BRANCH,BR023324,,,2020-12-23,uk-establishment,,,,8635196e27bcb1555cbba315fb64efa438c053d8,,open,,,FALSE,FALSE,,EC3A 5EB,London,33 Creechurch Lane,,,,,,,,,,,,,,,,,,/company/BR023324,,,,,,,,,,,INTERNATIONAL RISK SOLUTIONS INSURANCE BROKER (EUROPE) LTD,FC038232,(Re)Insurance Broking,/company/FC038232,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsh Commercial (Glasgow),['65120'],MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,england-wales,2016-03-01,1995-03-02,ltd,active,FALSE,FALSE,525a014af7ce0b11c6035129b4d666076feaa876,FALSE,active,TRUE,FALSE,FALSE,TRUE,,LE1 6XF,Leicester,Lancelot House,2022-08-31,2023-08-31,FALSE,2021-09-01,2021-08-31,total-exemption-full,2020-09-01,2021-08-31,2023-08-31,2022-08-31,31,8,FALSE,2023-07-09,FALSE,2022-07-09,2023-07-23,/company/03028313,/company/03028313/filing-history,/company/03028313/officers,/company/03028313/persons-with-significant-control,,"[{'effective_from': '1995-03-02', 'name': 'MONHURST LIMITED', 'ceased_on': '1995-09-01'}]",1-3 Upper King Street,/company/03028313/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Stackhouse Guildford),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Manchester),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Plan (Alton),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turner Rawlinson & Co Ltd (Cleo),,CENTURY INSURANCE BROKER CO LTD (REPRESENTATIVE OFFICE),FC032718,united-kingdom,,2015-05-01,oversea-company,,FALSE,,49aff099ee1e3fd009e3642cd740d171cbaae8d0,FALSE,active,FALSE,,,FALSE,Beijing,,"Xichend District,","Room 1937-1943a, Building 10 - Building 6,8,10,12,16,18,",2015-12-31,,FALSE,,2014-12-31,null,,2014-12-31,,2015-12-31,,,FALSE,,,,,/company/FC032718,/company/FC032718/filing-history,/company/FC032718/officers,,,,"Xuanwumenwai Street,",,,,,,,,,110102005766463,/company/FC032718/uk-establishments,3,31,12,1,1,accounting-requirements-of-originating-country-apply,accounts-publication-date-supplied-by-company,"Company Law Of China, Insurance Law Of China - Provisions Of The Supervision & Administration Of Insurance Brokerage Institutions (2013 Revision)",Limited Private Company,CHINA,Beijing Administation For Industry And Commerce (Baic),"Establish Insurance Plans For The Insurance Applicant, Choose The Insurer, Perfo",110102005766463,FALSE,,,,,,,,,,,,
Guest Krieger Limited,"['65120', '65202']",GUEST KRIEGER LIMITED,1203847,england-wales,2015-10-01,1975-03-14,ltd,,FALSE,FALSE,b722054fdaffed920310e1f4ae0e09b18d6bb1a4,FALSE,active,TRUE,FALSE,FALSE,TRUE,,EC3V 3QX,,68 Cornhill,2022-12-31,2023-09-30,FALSE,2022-04-01,2022-03-31,group,2021-04-01,2022-03-31,2023-09-30,2022-12-31,31,12,FALSE,2024-03-24,FALSE,2023-03-24,2024-04-07,/company/01203847,/company/01203847/filing-history,/company/01203847/officers,/company/01203847/persons-with-significant-control,,,London,/company/01203847/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Guernsey),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur J Gallagher (UK) Ltd (Birmingham),['66220'],ARTHUR J. GALLAGHER INSURANCE BROKERS LIMITED,SC108909,scotland,2016-01-16,1988-01-26,ltd,,FALSE,FALSE,ade3832e1a81f789d9a78dd57975599178e93ce6,FALSE,active,TRUE,FALSE,FALSE,TRUE,Scotland,G2 7AT,Glasgow,Spectrum Building,2023-12-31,2024-09-30,FALSE,2023-01-01,2022-12-31,full,2022-01-01,2022-12-31,2024-09-30,2023-12-31,31,12,FALSE,2024-01-16,FALSE,2023-01-16,2024-01-30,/company/SC108909,/company/SC108909/filing-history,/company/SC108909/officers,/company/SC108909/persons-with-significant-control,Scotland,"[{'effective_from': '1995-08-15', 'name': 'GILES INSURANCE BROKERS LIMITED', 'ceased_on': '2014-05-06'}, {'effective_from': '1988-03-24', 'name': 'GILES INSURANCE SERVICES LIMITED', 'ceased_on': '1995-08-15'}, {'name': 'SKILLPLEDGE LIMITED', 'ceased_on': '1988-03-24', 'effective_from': '1988-01-26'}]",55 Blythswood Street,/company/SC108909/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Roberts & Partners (Insurance Brokers) Ltd,['65120'],DAVID ROBERTS & PARTNERS (INSURANCE BROKERS) LIMITED,1329408,england-wales,2015-12-23,1977-09-09,ltd,,FALSE,FALSE,9396e394a843479359eecf1e2aafcd4fc8ddf89f,FALSE,active,TRUE,FALSE,FALSE,TRUE,Merseyside,PR9 9YF,Southport,Chancery House,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2024-01-02,FALSE,2023-01-02,2024-01-16,/company/01329408,/company/01329408/filing-history,/company/01329408/officers,/company/01329408/persons-with-significant-control,,,Slaidburn Crescent,/company/01329408/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Bateman Insurance Consultants Limited,['66220'],JOHN BATEMAN INSURANCE CONSULTANTS LIMITED,1505363,england-wales,2016-01-06,1980-07-01,ltd,,FALSE,FALSE,b64ccd8c3896165d93f06cdceeb7927614024511,FALSE,active,TRUE,FALSE,FALSE,TRUE,,CV34 4HU,Warwick,53 Smith Street,2023-07-31,2024-04-30,FALSE,2022-08-01,2022-07-31,total-exemption-full,2021-08-01,2022-07-31,2024-04-30,2023-07-31,31,7,FALSE,2024-01-03,FALSE,2023-01-03,2024-01-17,/company/01505363,/company/01505363/filing-history,/company/01505363/officers,/company/01505363/persons-with-significant-control,,"[{'name': 'INGHAM & ASSOCIATES (INSURANCE BROKERS) LIMITED', 'ceased_on': '1995-08-30', 'effective_from': '1980-07-01'}]",,/company/01505363/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIBL re Finch Commercial Insurance Brokers Limited (Southampton) CANX,['82990'],FINCH COMMERCIAL INSURANCE BROKERS LTD,4251300,england-wales,2015-07-12,2001-07-12,ltd,active,FALSE,FALSE,50127762deca4b69d1af5fae2939558215fea8a9,FALSE,active,TRUE,FALSE,FALSE,TRUE,Berkshire,RG5 3JP,Reading,53a Crockhamwell Road,2022-12-31,2023-09-30,FALSE,2022-01-01,2021-12-31,full,2021-01-01,2021-12-31,2023-09-30,2022-12-31,31,12,FALSE,2023-07-01,FALSE,2022-07-01,2023-07-15,/company/04251300,/company/04251300/filing-history,/company/04251300/officers,/company/04251300/persons-with-significant-control,United Kingdom,"[{'name': 'FINCH COMMERCIAL LTD', 'ceased_on': '2003-02-27', 'effective_from': '2001-07-12'}]",Woodley,/company/04251300/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verlingue (Egham),['66220'],AAA INSURANCE & REINSURANCE BROKERS LIMITED,4474263,england-wales,2015-07-01,2002-07-01,ltd,active,FALSE,FALSE,1eaac1e0c25d561ded67b13891a5fddbfdfc3997,TRUE,liquidation,TRUE,FALSE,FALSE,TRUE,,EC4M 7AU,London,30 Old Bailey,2020-01-31,2021-01-31,TRUE,2019-01-01,2018-12-31,full,2018-01-01,2018-12-31,2021-01-31,2020-01-31,31,1,TRUE,2021-07-01,TRUE,2020-07-01,2021-07-15,/company/04474263,/company/04474263/filing-history,/company/04474263/officers,/company/04474263/persons-with-significant-control,,"[{'name': 'AAA INSURANCE AND REINSURANCE BROKERS LIMITED', 'ceased_on': '2002-09-26', 'effective_from': '2002-09-18'}, {'name': 'INPUTMOUNT LIMITED', 'ceased_on': '2002-09-18', 'effective_from': '2002-07-01'}]",,/company/04474263/charges,,,/company/04474263/insolvency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsh Commercial (Reading),['65120'],MARSH & COMPANY INSURANCE BROKERS LIMITED,3028313,england-wales,2016-03-01,1995-03-02,ltd,active,FALSE,FALSE,525a014af7ce0b11c6035129b4d666076feaa876,FALSE,active,TRUE,FALSE,FALSE,TRUE,,LE1 6XF,Leicester,Lancelot House,2022-08-31,2023-08-31,FALSE,2021-09-01,2021-08-31,total-exemption-full,2020-09-01,2021-08-31,2023-08-31,2022-08-31,31,8,FALSE,2023-07-09,FALSE,2022-07-09,2023-07-23,/company/03028313,/company/03028313/filing-history,/company/03028313/officers,/company/03028313/persons-with-significant-control,,"[{'effective_from': '1995-03-02', 'name': 'MONHURST LIMITED', 'ceased_on': '1995-09-01'}]",1-3 Upper King Street,/company/03028313/charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
